Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
4933464972;M12FQID-0 FUEL™ Akku-Impulsschrauber Milwaukee;78;16,9;19,2;1,2;5022FF
4933383925;AP12E Polierer Milwaukee;9;50;20;4,08;5023FF
4932472173;"Diamant-Nassbohrkrone WCHP-TK 24 x 370 mm / 1/2"" G Milwaukee";38,4;5,8;5,8;0,38;5024FF
48532789;Blattbohrer-Fettaustreiber 38 mm für Akku-Rohrreiniger M18FDCPF/M18FFSDC Milwaukee;12,4;7,5;2,4;0,04;5025FF
48950100;152 mm Verlängerung für M12 BPRT Milwaukee;26;10,8;5,7;0,39;5026FF
4932459501;Presseinsatz für hydraulisches Akku-Presswerkzeug R13 Cu 150 Milwaukee;7;4;4;0,19;5027FF
4932352305;Filterelement PET-Vlies für AS300EMAC Milwaukee;24,2;11,6;8,4;0,32;5028FF
4932471253;Hammerbohrer MX4 SDS-Plus 10er Pack 8 x 265 mm, SDS-Plus 4-Schneiden Milwaukee;3,6;3,6;29;0,84;5029FF
4932352220;Metallbohrer HSS-G kurz DIN 1897 9,0 x 84 mm, HSS-G kurz Milwaukee;13,2;3;3,2;0,18;5030FF
3649796;650 mm, beweglich seitliche Führungsrolle;0;0;0;0;5031FF
3352124;MK 3 Ausdreh-Ausbohrkopf Satz;0;0;0;0;5032FF
3355551;PNM 100 Niederzugschraubstock;450;260;170;12;5033FF
4933478405;"M18ONEFHIWF12E-0X ONE KEY™ Akku-Schlagschrauber 1/2"" ext. Anvil Milwaukee";48;13,5;36,5;5,38;5034FF
4932500299;"SHOCKWAVE Schlagnuss 1/2"" kurz Milwaukee 33 x 43 mm";4,6;4,6;10,3;0,25;5035FF
4933492903;M18SAL2-502B Akku-Baustrahler Milwaukee;113;24,4;25;12,5;5036FF
4932399183;Hammerbohrer M2 SDS-Plus, 50er-Pack 8 x 210 mm, SDS-Plus 2-Schneiden Milwaukee;7,1;7,1;22,9;3,22;5037FF
4932352498;Flachholzbohrer 22 x 400 mm Milwaukee;46,9;4,6;0,6;0,13;5038FF
4932373333;HSS-G RED COBALT Metallbohrer DIN 338   10er Pack 1,5 x 40 mm, HSS-G Co Milwaukee;9;2;2;0,01;5039FF
4932464711;Lochsäge Bi-Metall 152 mm Contractor Milwaukee;10,9;15,8;16,2;0,91;5040FF
02-01082;Spannklaue zu Spannklauenschlitten | Reifenmontiermaschine Ersatzteil - RMG;5;4;4;0,3;5041FF
4932399296;SCHLAGBOHRKRONENSET SDS+ 68X182MM;0,5;0,5;0;0;5042FF
3880153;Biegewerkzeug zum Drehen von Stangen;0;0;0;0;5043FF
4312038;38 mm Gleitschuh;0;0;0;0;5044FF
3450232;Ø 160 mm DIN 6350 A2-4 Dreibacken-Drehfutter Guss;200;180;150;8;5045FF
4932352010;Hammerbohrer MX4 SDS-Plus 5,5 x 165 mm, SDS-Plus 4-Schneiden Milwaukee;3,7;3,7;22,5;0,05;5046FF
4932399338;Hammerbohrer M2 SDS-Plus, 10er-Pack 6,5 x 160 mm, SDS-Plus 2-Schneiden Milwaukee;18,7;3,5;3,5;0,47;5047FF
4932479216;Flachmeißel 21 mm Sechskant 300 x 50 mm Milwaukee;30;4,9;2;0,74;5048FF
4932479478;"Selbstbohrer 25 mm, 7/16"" Hex Milwaukee";4,5;8;20;0,18;5049FF
4932352364;Metallbohrer HSS-G THUNDERWEB DIN 338 8,5 x 117 mm, HSS-G Milwaukee;1;5;17;0,04;5050FF
4932343283;HSS Kernlochbohrer, kurz 27 x 30 mm Milwaukee;10,7;3,6;3,8;0,14;5051FF
4932479037;TCT Lochsäge HM-bestückt einteilig 22 mm Milwaukee;8,3;5;17;0,13;5052FF
4932471929;Schrauberbit SHOCKWAVE PZ3 / 150 mm Milwaukee;19,5;4,6;0,1;0,04;5053FF
02-0631;Kunststoffbacke für Reifenmontiermaschine Profi - 1tlg.;120;50;40;0,5;5054FF
02-0814;W860CS - WARTER PROFI Reifenmontiermaschine Kippsäule mit Doppel Hilfsarm 2 Stufig mit Reifenheber;92;84;185;250;5055FF
02-0896;Böschungslöffel 600 mm starr für Minibagger 1–2 t – ohne Zähne, Schnellwechsleraufnahme;60;35;35;39;5056FF
3649401;1 m Anschlag mit Digitalanzeige;0;0;0;0;5057FF
3536263;Ø 16 mm für VDI 40 Bohrstangenaufnahme;103;105;175;255;5058FF
4932471162;Absaugbohrer SDS-Plus DUST-LOK Set 6-teilig Milwaukee;20;24;5;0,82;5059FF
4932373357;HSS-G RED COBALT Metallbohrer DIN 338   5er Pack 11,5 x 142 mm, HSS-G Co Milwaukee;19;5;5;0,45;5060FF
4932498301;"Diamantbohrer DIAMOND MAX 1/4"" Hex Set 5-teilig 5 x 8 mm in PACKOUT kompatibler Box Milwaukee";6;2;15,5;0,15;5061FF
4932500417;"SHOCKWAVE Metallbohrer HSS-G RED HEX Titan 1/4""  5er Pack Milwaukee 12,0 x 127 mm";4,9;4,6;19;0,37;5062FF
4933471838;MXFCP203 Akku 3.0 Ah Milwaukee;28,8;11,4;12,5;2,84;5063FF
4933471207;M18FRAD2-0 FUEL™ Akku-Winkelbohrmaschine Milwaukee;54;11;22;6,64;5064FF
4933479898;L4NL400-301 USB-Akku-Nackenleuchte Milwaukee;16;4,5;26;0,42;5065FF
48361108;"FPTD 3/4"" NPT HS Gewindeschneideisen FPTD 3/4"" NPT HS Milwaukee";13,9;9,6;2,3;0,08;5066FF
4932479098;Softgrip-Ummantelung für M12FRAIWF38 + WF12 Milwaukee;11,5;7,2;17,6;0,07;5067FF
4932430439;Hammerbohrer MX4 SDS-Plus 50er Pack 8 x 165 mm, SDS-Plus 4-Schneiden Milwaukee;17,6;9,3;8,3;2,71;5068FF
3888305;25 x 25mm - Belastbarkeit 6 t/m Biegedorn;0;0;0;0;5069FF
3654048;Ø 400 x 4,0 x 32 mm Z96 Sägeblatt HM;410;410;10;35;5070FF
3536307;ER 32 - BT30 Spannzangenhalterschlüssel;10;250;74;38;5071FF
4933478638;M18ONEFLT-502X ONE KEY™ Akku-Schließringbolzen-Setzgerät Milwaukee;47,5;12,5;35,5;6,79;5072FF
49560112;Lochsäge Bi-Metall 48 mm Hole Dozer Milwaukee;10,1;7,7;5,8;0,1;5073FF
4933493928;M18HMP700-0 M18 Akku-Mini-Hydraulikpumpe Milwaukee;48;20,2;30,1;6,48;5074FF
4933441950;M12BPD-0 Akku-Schlagbohrschrauber Milwaukee;21;7;19;1,31;5075FF
4933480782;M12BHCS3L-201  Akku-Chemie-Sprühgerät  Milwaukee;62,5;30;23;5,22;5076FF
4933428120;AGV15-125XCProTector Winkelschleifer Milwaukee;16;42,5;9;3,6;5077FF
4932367306;Hammerbohrkrone SDS-Max 125 x 100 mm zweiteilig Milwaukee;13,8;13,8;15,3;2,36;5078FF
4932479476;"SPEED FEED Holzbohrer 32 x 165 mm, 1/4"" Hex Milwaukee";26,1;40,9;3,4;0,16;5079FF
02-0670;"10-tlg. Sensor-Steckschlüssel-Satz | EGT- & Einspritzleitungen | Gerade & Abgewinkelte Bauform

 | RT-F2108";23;16;5,5;2;5080FF
4933446639;M18RC-0  Netz-/Akku-Radio mit Ladefunktion Milwaukee;42,5;33,2;33,5;9,75;5081FF
4933402360;AGV26-230GEProTector Winkelschleifer Milwaukee;11,5;63,5;24;8,6;5082FF
4932492928;"PTR2D 1/2""-3/4"" BSPT HSS Gewindeschneideisen für MXF PTR2 Milwaukee";23;11;2,4;0,67;5083FF
4932464862;Presseinsatz für hydraulisches Akku-Presswerkzeug DIN 22 Cu 10 Milwaukee;7;4;4;0,11;5084FF
02-0935;Schwerlastanker M18 8.8 DIN - Befestigungsmaterial zur Montage 12-tlg. | M18 x 200 mm;20;2;2;3;5085FF
02-0974;Teller für Montagehilfsarm – Reifenmontiermaschine RETTER 706D Pro;25;25;7;0,3;5086FF
4933498915;M18FPCS-502X Milwaukee M18 FUEL™ Akku-Stahlrohrschneider;47,5;18;36,2;8,14;5087FF
4310086;15 mm / R 45 mm Biegesegment;0;0;0;0;5088FF
3640289;620 mm Zusatzrolle;0;0;0;20;5089FF
3657000;2450 mm Sägeband Starter-Set;0;0;0;2;5090FF
3441752;ISO WNMG080408 HM-Ersatzwendeplatten;100;45;10;6;5091FF
3355102;für HMS 100 Prismenbacke;71;169;76;55;5092FF
4932498427;R13 KRT CU 120 Pressbacken KRT-Profil Milwaukee;7;4;4;0,2;5093FF
49161578;STSD 22x41C Profil-Schneidmesser für M18 STSO Milwaukee;5;11;10;1,51;5094FF
4932498021;AT-12 AIR-TIP™ 4-IN-1 Reinigungs-Set rechtwinkelig Milwaukee;48,9;44,6;8,6;0,53;5095FF
4932430442;Hammerbohrer MX4 SDS-Plus 50er Pack 10 x 215 mm, SDS-Plus 4-Schneiden Milwaukee;22,2;12,4;8;4,64;5096FF
4932352488;Flachholzbohrer 6 x 400 mm Milwaukee;4;8;1;0,08;5097FF
4932373352;HSS-G RED COBALT Metallbohrer DIN 338   5er Pack 9,0 x 125 mm, HSS-G Co Milwaukee;15,5;3;3;0,27;5098FF
02-0353-220V;RETTER Unterflur Doppel Ausschub - Profi Scherenhebebühne 3.5 t | RT-FW3500-2 | 230 V;165;190;35;807;5099FF
3649078;290 mm, beweglich Seitliche Führungsrolle;0;0;0;15;5100FF
3646120;für HMBS 440 X CALIBER Schnittverlaufskontrolle;0;0;0;0;5101FF
3352025;V 250 Frästischvorschub;270;180;370;65;5102FF
4933499217;M18FCHS-122 M18 FUEL™ Akku-Kettensäge 40-cm-Schwert Milwaukee;28,4;24,9;89,9;11,38;5103FF
4932430070;Ersatzmesser-Set für M12 CC Milwaukee;20,5;15;2;0,34;5104FF
4932471990;Absaugadapter PHDE152 für Bohrhämmer bis 152 mm Bohrdurchmesser Milwaukee;34,8;7;21,6;0,76;5105FF
4932399243;Drill Connect Verlängerung 1100 mm SDS-Max zu SDS-Max Milwaukee;110;1,8;1,8;2,13;5106FF
4932479493;"QUIK-LOK Verlängerung 140 mm mit 7/16"" Hex Aufnahme Milwaukee";26;5,5;3,5;0,3;5107FF
4932493575;HSS-CO Kegelsenker 90° Rundschaft DIN 335C HSS Co 6-tlg. Kassette Milwaukee;4;10;14,5;0,35;5108FF
4932372533;HSS Kernlochbohrer kurz Set 14/16/18/20/22/24 mm Milwaukee;24,6;20,5;6,2;0,66;5109FF
49560848;Lochsäge mit HM-Verzahnung 140 mm Hole Dozer Milwaukee;20,3;17,7;6;0,76;5110FF
02-0154;Reifenmontage Schutzdichtung 2 tlg. Montagekopf - Hilfswerkzeug;0;0;0;0,1;5111FF
3797571;FF101 CNC-Steuerung mit 3D-Grafik;0;0;0;0;5112FF
4933479593;MXFCVBPKIT-602  MX FUEL™ Rucksack-Betonverdichter Milwaukee;83,3;32,2;48,5;37,08;5113FF
4933464309;M18ONEHCC-201C FSW SET ONE KEY™ Akku-Kabelschneider Milwaukee;14;49;39;7,78;5114FF
48532574;Spirale für Akku-Rohrreiniger M12BDC 6 mm x 7,6 m mit Gelenk-Keulenkopf Milwaukee;27,2;5,5;28,2;1,47;5115FF
4932459473;Presseinsatz für hydraulisches Akku-Presswerkzeug DIN13 Cu 185  Milwaukee;4,2;4;7;0,16;5116FF
4932464865;Presseinsatz für hydraulisches Akku-Presswerkzeug C22 Cu25/C6 Milwaukee;7;5;4;0,15;5117FF
4932479043;TCT Lochsäge HM-bestückt einteilig 35 mm Milwaukee;5,5;8;16;0,2;5118FF
4932472197;"Diamant-Nassbohrkrone WCHP-TK 130 x 525 mm / 1 1/4"" UNC Milwaukee";56,2;17,2;17,4;3,58;5119FF
3357456;Ø 315 x 2,5 x 40 mm t6 Kreissägeblatt HSS;4;324;339;145;5120FF
4933451790;"M18FQID-502X FUEL™ Akku-Impulsschrauber 1/4"" Hex Milwaukee";47,3;36,4;13,4;5,89;5121FF
4932430307;Zwischenbacke RJA-1 zur Verwendung der Pressschlingen RJ18 Milwaukee;15,6;22,5;9,5;2,25;5122FF
48894724;"SHOCKWAVE Metallbohrer HSS-G RED HEX Titan 1/4"" 10,5 x 122 mm Milwaukee";19,6;4,8;1,2;0,05;5123FF
4932352200;Metallbohrer HSS-G kurz DIN 1897 2,0 x 38 mm, HSS-G kurz Milwaukee;7,5;1,7;1,7;0,01;5124FF
4932464694;Lochsäge Bi-Metall 64 mm Contractor Milwaukee;8;8;9,7;0,2;5125FF
4933464967;"M12ONEFTR38-201C ONE KEY™ Digitaler-Akku-Drehmomentschlüssel 3/8"" Milwaukee";65,5;29,2;11,5;6,15;5126FF
4933479584;M18F2LM53-0 FUEL™ Akku-Rasenmäher Milwaukee;57,3;101,1;46,5;42,64;5127FF
4933451116;CS85CBE Kreissäge Milwaukee;55;32;38,5;15,57;5128FF
4932498762;3-Zahn Messer für M18F2BCU 3-Zahn Messer für M18F2BCU Milwaukee;27;2,4;29;0,55;5129FF
4932492425;Erdungsset Erdungsset für M18 HSFC125 Milwaukee;80;25;25;4;5130FF
4932492024;Hammerbohrer MX4 SDS-Plus 12 x 360 mm, SDS-Plus 4-Schneiden Milwaukee;42,5;3,6;1,2;0,17;5131FF
48894719;"SHOCKWAVE Metallbohrer HSS-G RED HEX Titan 1/4"" 8,0 x 111 mm Milwaukee";17;4,7;1,1;0,04;5132FF
4932492907;IRPSU3-0 Akku Li-Ion FLAT PACK für Akku-Heizbekleidung Milwaukee;11,5;8,3;2,4;0,5;5133FF
4933500568;JSPE135TX Milwaukee Stichsäge;32,5;10,5;41;4,59;5134FF
4933451636;M18FMDP-0C FUEL™ Akku-Magnetkernbohrsystem Milwaukee;75,5;21;56,5;23,8;5135FF
4933498603;HACO850 SDS-max Kombihammer 50mm Milwaukee;65;16,7;52,2;15,2;5136FF
4932471709;Führungskabel 20mm x 60cm für Akku-Rohrreiniger MXFLSDP Milwaukee;64;2;2;0,92;5137FF
4932373623;Selbstreinigender Faltenfilter für RSE1400/ASE1400/ASM1400 Milwaukee;28;21,4;13,1;1,14;5138FF
4932353822;Hammerbohrer M2 SDS-Plus 9 x 210 mm, SDS-Plus 2-Schneiden Milwaukee;17,5;3,5;1;0,07;5139FF
4932363708;Forstnerbohrer 20 x 90 mm Milwaukee;13;4;2,5;0,07;5140FF
4932371756;HSS Kernlochbohrer, kurz 47 x 30 mm Milwaukee;6;6;12;0,26;5141FF
02-01012;RETTER Sortiment Muttern & Schrauben – 347-teilig | RTZ5974;21;11;3;0,5;5142FF
02-01266;49cc Fliehkraftkupplung für 2-Takt Motor – ATV Miniquad Benziner;0;0;0;0,3;5143FF
4932500409;Metallbohrer HSS-G THUNDERWEB DIN 338 Milwaukee 18,0 x 152 mm, HSS-G;2,2;5,3;21,6;0,18;5144FF
02-0840;Diesel Hoflader 1.6 T - Allrad Teleskoplader | K625 - Kubota Motor 25 PS;338;120;201;1650;5145FF
3880102;Spezial-Richtrollen seitlich, für Winkeleisen;0;0;0;0;5146FF
4310090;18 mm / R 54 mm Biegesegment;0;0;0;0;5147FF
3441410;Ø max. 56 mm Mitlaufende Lünette;210;210;60;155;5148FF
4932352754;Hammerbohrer SDS-Max 15 x 340 mm, SDS-Max 2-Schneiden Milwaukee;36,4;3;3;0,4;5149FF
4932493893;Premium-Betonbohrer Rundschaft 16 x 150 mm Milwaukee;5;1;35,5;0,12;5150FF
4932363276;HSS-G RED COBALT Metallbohrer DIN 338 8,5 x 117 mm, HSS-G Co Milwaukee;1;5;17,5;0,04;5151FF
4932472195;"Diamant-Nassbohrkrone WCHP-TK 111 x 525 mm / 1 1/4"" UNC Milwaukee";53;12;9;3,3;5152FF
02-0922;Profi Reifenfüller mit Manometer, Ablassventil und Schlauch 12 bar - RT101;7;8;8;3;5153FF
3052630;BME 85 Maschinenschraubstock;255;150;62;3;5154FF
4933464978;M12FDDX-0 FUEL™ Akku-Kompakt-Bohrschrauber mit Schnellwechselbohrfutter Milwaukee;21,5;6;20,5;1,27;5155FF
4933479437;M18FPXP-H10502C FUEL™ Akku-Expander Milwaukee;14;57;42;13,07;5156FF
4932479613;MXFCVS-6.4 m 6,4 m Vibrator-Welle Milwaukee;80;71,5;9;12,54;5157FF
4932464219;Pressbacke  J12-G26 Nennweite G26 für 12 V Presswerkzeug Milwaukee;22,7;16;9,5;1,35;5158FF
4932399125;HM Zentrierbohrer für Mauerwerk u. Stein 8 x 120 mm Milwaukee;20;4;0,5;0,04;5159FF
02-0640;An- Ausschalter 1 tlg - Kolbenkompressor Ersatzteil | KCD1;0;0;0;0;5160FF
3640325;für HMBS 850 x 1000 HA X / HMBS 850 x 1000 CNC X Schnittverlaufskontrolle;0;0;0;0;5161FF
4932493203;ROD500 500 cm Laser-Messlatte Milwaukee;125;6,5;6;2,11;5162FF
4932493165;"J18-B 1/2"" 1/2"" Lizenzierte Pressbacke für Connex & Bänninger Maxi Pro B Presse Milwaukee";22,8;15,9;9,4;2,13;5163FF
4932459511;Presseinsatz für hydraulisches Akku-Presswerkzeug DIN13 AL 150 Milwaukee;7,1;4,1;4,2;0,18;5164FF
4932498227;SIMIC3 10 mm Kamerakopf -3 m Inspektionskamera für M12™-Kanalinspektionsmonitor Milwaukee;30,5;28,5;31,2;0,46;5165FF
4932367025;Hammerbohrer M2 SDS-Plus 20 x 600 mm, SDS-Plus 2-Schneiden Milwaukee;2;3,7;66;0,59;5166FF
4932352379;Metallbohrer HSS-G THUNDERWEB DIN 338   10er Pack 2,0 x 49 mm, HSS-G Milwaukee;7,6;2;2,2;0,02;5167FF
4932459837;Metallbohrer HSS-G THUNDERWEB DIN 338   10er Pack 2,6 x 57 mm, HSS-G Milwaukee;9;2;9;0,03;5168FF
4932430466;Auswurffeder und Madenschraube für SHOCKWAVE Lochsäge Milwaukee;9,5;6;0,5;0;5169FF
02-01264;Steuerhebel mit Gummifaltenbalg und Kabelanschluss für Baumaschinen - Minibagger;0;0;0;1;5170FF
4933464799;Milwaukee M18 Akku-Stichsäge mit Knauf-Griff FUEL™ M18FBJS-0X;47,5;23;36,2;6,49;5171FF
02-0543;Retter Druckluft Kompressor RT3050 - 1500W mit 2 PS, 50L Kessel, 10 bar Druck, ölfrei und wartungsarm;0;0;0;17;5172FF
02-0672;XN05 - Hydraulikhammer für Minibagger inkl. Servicekit und Hydraulikzubehör | Rhinoceros Anbaugerät;130;40;30;79;5173FF
3790152;3,0 mm, Länge 1050 mm Rundbiegeschiene;0;0;0;0;5174FF
3853503;Ø 355 x 2,4 x 25,4 mm Sägeblatt für Edelstahl;425;425;200;15;5175FF
4932479060;Auswurffeder für TCT Lochsäge einteilig Milwaukee;8;1;9;0,01;5176FF
4932471822;"SHOCKWAVE Magnetbithalter 1/4"" Hex 152 mm Milwaukee";4,8;22;1,4;0,07;5177FF
4932399590;Schrauberbit PZ2 PZ2 / 25 mm Milwaukee;8,5;5;2;0,13;5178FF
02-01378;RETTER Sortierschalen Satz 9-tlg.;60;60;4;1;5179FF
3530110;MVSP 150 x 400 Modular - Maschinenschraubstock;700;200;210;51;5180FF
3356814;75 mm 1/2'' Flachdüse;297;265;27;4;5181FF
3536411;0-13mm - HSK63A Bohrfutter;160;75;75;211;5182FF
4932344296;Hammerbohrer M2 SDS-Plus 10 x 450 mm, SDS-Plus 2-Schneiden Milwaukee;51,6;3,5;1,4;0,16;5183FF
4932471094;"SHOCKWAVE Multimaterial Bohrer 1/4"" Hex 5,5 x 100 mm Milwaukee";0,9;4,7;16,5;0,02;5184FF
4932343291;HSS Kernlochbohrer, lang 16 x 50 mm Milwaukee;2;2;9;0,1;5185FF
3797043;PUD Steuerung;0;0;0;0;5186FF
3536233;für VDI 30 Vierkant-Längsaufnahme;75;135;80;186;5187FF
3440505;ER 25, Ø 52 mm, zylindrisch Spannzangenfutter;86;145;210;105;5188FF
4932493464;PACKOUT Schraubdeckel für PACKOUT Isolierbecher und -flaschen Milwaukee;5;5;5,5;0,24;5189FF
4932500170;Filter für M18 FBPV2 Milwaukee 0;17,5;17,3;16,7;0,53;5190FF
3450370;Ø 200 mm DIN ISO 702-2 Nr. 6 BISON Vierbacken-Drehfutter Guss Camlock, zentrisch spannend;250;250;200;212;5191FF
4933493417;M18FHSAG125XPDB2-0X M18 FUEL™ Akku-Hochleistungswinkelschleifer 125mm mit Paddelschalter Gen 2 Milwaukee;47,5;18;36,2;6,25;5192FF
4932430484;M28B5 Akku 5.0 Ah Milwaukee;10,6;10,3;16;1,16;5193FF
48534836;Kugelkopffräser 32 mm für mittlere Öffnungen für M18FSSM Milwaukee;7,4;5,9;12,5;0,38;5194FF
4932343738;Flachmeißel SDS-Max 400 x 25 mm Milwaukee;45,5;3,5;2;0,73;5195FF
4932479496;"Verlängerung 600 mm mit 7/16"" Hex Aufnahme Milwaukee";3,5;5,3;74;0,7;5196FF
4106060;60 t Lochplatte;300;200;120;18;5197FF
3640328;1000 x 800 mm Rollenbahn;0;0;0;250;5198FF
3357515;2080 x 20 x 0,9 mm, 10 - 14 ZpZ, 0° Sägeband;2080;1;20;57;5199FF
3350220;RDET HM Wendeplatten;100;40;15;2;5200FF
3536340;Ø 6 mm Weldon Halter BT 40;75;100;75;12;5201FF
4932459848;Metallbohrer HSS-G THUNDERWEB DIN 338   10er Pack 4,3 x 80 mm, HSS-G Milwaukee;14,8;3,5;3,1;0,1;5202FF
49565091;Lochsäge Bi-Metall 20 mm Hole Dozer Großpack Milwaukee;23,7;22,4;6,8;0,05;5203FF
4932479580;Zentrierbohrer-Adapter für MXF DCD150 Milwaukee;78,1;6,3;6,3;0,81;5204FF
3384301;SWH 1 - A Schnellwechselstahlhalter-Satz;105;230;210;417;5205FF
4933479266;MXFPS-602 MX FUEL™ Generator Milwaukee;48;58,5;80;34,66;5206FF
4932464509;Presseinsatz für hydraulisches Akku-Presswerkzeug L13 Cu 240 Milwaukee;7,2;4,2;4,5;0,21;5207FF
4932352036;Hammerbohrer MX4 SDS-Plus 14 x 160 mm, SDS-Plus 4-Schneiden Milwaukee;22,7;3,5;1,5;0,1;5208FF
4932352792;Hammerbohrer SDS-Max 38 x 370 mm, SDS-Max 4-Schneiden Milwaukee;4,2;4,7;39,8;1,22;5209FF
4932373364;WS-Holz Schlangenbohrer 24 x 230 mm Milwaukee;4;30;4;0,32;5210FF
02-0737;Ölauffang - Ölabsauger max. 35 Liter RETTER - RTH35-B;46;45;56;6;5211FF
3790022;Ø12 R45 Biegesegment-Set;0;0;0;13;5212FF
3658027;2730 x 27 x 0,9 mm 5-8 ZpZ Sägeband;2730;1;27;5;5213FF
49224201;Lochsägen Bi-Metall Set 10-teilig Hole Dozer Milwaukee;23;23,9;9,5;1,9;5214FF
3381012;SE 1 Nivellierteller;162;127;39;105;5215FF
3444425;HSP 105 Spindel-Ø 101 - 109 mm Hohlspindelanschlag;300;180;100;33;5216FF
3440704;MK 4 Mitlaufende Zentrierspitze;23;8;8;147;5217FF
3442906;Für Dreibackendrehfutter Ø 125 mm DIN 6350 Blockbackensatz weich;58;124;106;26;5218FF
4932363720;Forstnerbohrer 40 x 90 mm Milwaukee;12;50;12;0,18;5219FF
4932459860;Metallbohrer HSS-G THUNDERWEB DIN 338   5er Pack 6,6 x 101 mm, HSS-G Milwaukee;15,3;3,4;3,1;0,13;5220FF
02-0144;Drehteller mit Einfachgewinde 50mm für 2 Säulen Hebebühnen ausdrehbar - universal;0;0;0;0;5221FF
4312025;25 mm Gleitschuh;0;0;0;0;5222FF
3352991;MSU 4 Maschinen- und Werkzeugwagen;670;675;445;595;5223FF
4933464227;TSS1000 Arbeitstisch Milwaukee;63;76,5;10,5;8,5;5224FF
4933441715;C12PXP-I06202C Akku-Expander Milwaukee;12,2;36,5;32,2;4,76;5225FF
4932480898;J18-G26 Geberit Mapress J18-G26 Milwaukee;22,9;16,3;9,7;2,05;5226FF
4932478466;Hammerbohrer MX4 SDS-Plus 5 x 265 mm, SDS-Plus 4-Schneiden Milwaukee;1,8;3,6;32,4;0,06;5227FF
4932471956;Glas-/Fliesenbohrer 4 x 50 mm Milwaukee;4,8;15;0,4;0,01;5228FF
4932343286;HSS Kernlochbohrer, kurz 30 x 30 mm Milwaukee;10,8;3,6;3,8;0,16;5229FF
4932480275;"SHOCKWAVE Schlagnuss 3/8"" kurz 18 x 34 mm Milwaukee";9,5;4,5;2,5;0,08;5230FF
6171701;Rollfahrwerk RFW 1 passend für Portalkran 1000 kg - | Unicraft PK 1;22;15;8;10;5231FF
RT01Y8002;8-Schubladen Schrank Modul für Schranksystem - 711 x 507 x 820 mm | RETTER - RT01Y8002;71,1;50,7;82;62,4;5232FF
02-0766;"Reifenwuchtmaschine 220V Vollautomatik RETTER JH-80B Hochpräzision mit Laser-Funktion Auswuchtmaschine 10-24"" | Werkstatt Radwuchtmaschine";98;80;119;112;5233FF
4933498066;M18FBJS-0 M18 FUEL™ Akku-Stichsäge Milwaukee;47,4;13,7;36,9;2,71;5234FF
4932479779;MXFPSB Profil für MXF PSC-3.00m Milwaukee;312;17;10;14;5235FF
4932478926;MPS-RS Werkzeugablage MPS-RS Milwaukee;67;60,5;8,5;5,26;5236FF
4932492019;Hammerbohrer MX4 SDS-Plus 8 x 365 mm, SDS-Plus 4-Schneiden Milwaukee;42,5;3,6;1,2;0,1;5237FF
4932471179;Premium-Betonbohrer Rundschaft 6,5 x 150 mm Milwaukee;0,7;4,8;20,2;0,02;5238FF
4932363681;WS-Holz Schlangenbohrer 8 x 230 mm Milwaukee;2,9;3,9;2;0,06;5239FF
48899320;Stufenbohrer 4 bis 20 mm, 2 mm Stufen Milwaukee;16,3;7,5;2,8;0,06;5240FF
49560183;Lochsäge Bi-Metall 83 mm Hole Dozer Milwaukee;15,1;12,6;5,6;0,29;5241FF
3658068;3375 x 27 x 0,9 mm 6-10 ZpZ Sägeband;3375;1;27;5;5242FF
3450217;Ø 250 mm DIN 6350 für A2-5 Bison Vierbacken-Drehfutter Stahl Camlock, zentrisch spannend;250;250;250;338;5243FF
4933498169;M18FRCN45-302X M18™ Fuel Akku-Coil-Nagler Milwaukee;47,5;18;36,2;9,6;5244FF
4933451136;M18BLHPT-202C U-Set Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;44;70;22;15,44;5245FF
48361111;"FPTD 1-1/2"" NPT HS Gewindeschneideisen FPTD 1-1/2"" NPT HS Milwaukee";13,8;9,6;2,2;0,22;5246FF
4932430260;Pressbacke J12-V12 Nennweite V12 für 12 V Presswerkzeug Milwaukee;22,6;15,9;9,5;1,47;5247FF
4932464503;Presseinsatz für hydraulisches Akku-Presswerkzeug L13  Cu 50 Milwaukee;7;4;4;0,21;5248FF
4932471946;Kantenfrässchuh TRB-1 für M18FTR Milwaukee;15,5;13,5;11,5;0,84;5249FF
4932471109;"SHOCKWAVE Multimaterial Bohrer 1/4"" Hex 10 x 400 mm Milwaukee";1,2;4,5;51;0,16;5250FF
4932373329;Metallbohrer HSS-R reduzierter Schaft 19 x 198 mm, HSS-R Milwaukee;24,5;4;24,5;0,28;5251FF
02-01317-EU 45;WARTER HIGHSAFE Sicherheitsschuhe S3 – Knöchelhoch, Leder, Wasserdicht, Rutschfest SRC, ESD – EN ISO 20345 EU 45;30;15;15;1,3;5252FF
4933493347;M12FJS-0 M12 FUEL Akku-Stichsäge Milwaukee;27;10;21,5;2,06;5253FF
4933479241;M12PCSS-0 Akku-Rohrschneider Milwaukee;36,5;7,5;13;1,7;5254FF
4932480240;"FPT2H 3/4"" BSPT Alloy BSPT Schneidkopf 3/4"" für M18FPT2 Milwaukee";9,5;12,5;13;1,01;5255FF
4932479450;"Pressschlinge RJ18XL-MP4"" Nennweite MP4"" für M18BLHPTXL Milwaukee";23;26;9;6,1;5256FF
4932459488;Presseinsatz für hydraulisches Akku-Presswerkzeug RU13 Cu120/AL95 Milwaukee;4;7;4;0,34;5257FF
